id,facet,facet_id,topic_id,topic,question1,answer1,id_1,image1_1,image1_2,image1_3,question2,answer2,id_2,image2_1,image2_2,image2_3,question3,answer3,id_3,image3_1,image3_2,image3_3,question4,answer4,id_4,image4_1,image4_2,image4_3
762,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,are you interested in the causes,"No, that's not something I'm looking into.  ",Q00415,213_Q00415_2004_1.jpg,213_Q00415_2004_2.jpg,213_Q00415_2004_3.jpg,would you like to know about carpal tunnel syndrome treatment,"No, I'm not particularly interested in that.",Q03373,213_Q03373_1048_1.jpg,213_Q03373_1048_2.jpg,213_Q03373_1048_3.jpg,would you like to know how to prevent carpal tunnel syndrome,I have an interest in understanding the recovery process better.,Q03486,213_Q03486_31_1.jpg,213_Q03486_31_2.jpg,213_Q03486_31_3.jpg,are you interested in treatment or managment options,I'm interested in knowing the recovery prospects for CTS surgical patients to better understand treatment and management options.,Q00519,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg
763,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,would you like to know which activities are associated with the people diagnosed with the carpal tunnel syndrome,"No, that’s not something I am interested in exploring.  ",Q03715,213_Q03715_2726_1.jpg,213_Q03715_2726_2.jpg,213_Q03715_2726_3.jpg,are there any important related factors or complications you want to know about regarding carpal tunnel syndrome,"No, I don’t have any inquiries on that topic.",Q00014,213_Q00014_484_1.jpg,213_Q00014_484_2.jpg,213_Q00014_484_3.jpg,Did you want more information regarding carpal tunnel syndrome symptoms?,I'm actually interested in understanding more about the outcomes after the surgery.,Q05614,213_Q05614_1672_1.jpg,213_Q05614_1672_2.jpg,213_Q05614_1672_3.jpg,Were you interested in treatment for carpal tunnel syndrome?,"No, i am just interested in recovery prospects for surgical patients of CTS.",Q05615,213_Q05615_1673_1.jpg,213_Q05615_1673_2.jpg,213_Q05615_1673_3.jpg
764,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,do you want to know the symptoms of carpal tunnel syndrome,"No, that's not something I'm looking into.  ",Q02250,213_Q02250_2052_1.jpg,213_Q02250_2052_2.jpg,213_Q02250_2052_3.jpg,are you interested in the causes,"No, not at this time.",Q00415,213_Q00415_2004_1.jpg,213_Q00415_2004_2.jpg,213_Q00415_2004_3.jpg,Would you like to find out which doctors treats carpal tunnel syndrome?,"I'm currently not interested in that, but I am looking into recovery outcomes for patients like me.",Q05612,213_Q05612_1670_1.jpg,213_Q05612_1670_2.jpg,213_Q05612_1670_3.jpg,are you interested in the exercises for carpal tunnel,I'm more interested in the recovery prospects for CTS surgical patients than just the exercises for carpal tunnel.,Q00433,213_Q00433_2589_1.jpg,213_Q00433_2589_2.jpg,213_Q00433_2589_3.jpg
765,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,Would you like information about carpal tunnel treatments?,"No, I am not interested in that information.  ",Q05613,213_Q05613_1671_1.jpg,213_Q05613_1671_2.jpg,213_Q05613_1671_3.jpg,do you need a list of who is at most risk of developing carpal tunnel syndrome,"No, I don’t require that.",Q01582,213_Q01582_455_1.jpg,213_Q01582_455_2.jpg,213_Q01582_455_3.jpg,are you interested in treatment or managment options,I'm interested in exploring various options related to recovery.,Q00519,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,what to know how many people become healthy after the surgery,I want to know about the recovery prospects for CTS surgical patients to understand how many people become healthy after the surgery.,Q02902,213_Q02902_1913_1.jpg,213_Q02902_1913_2.jpg,213_Q02902_1913_3.jpg
766,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,would you like to know which activities are associated with the people diagnosed with the carpal tunnel syndrome,"No, I’m not interested in that topic.  ",Q03715,213_Q03715_2726_1.jpg,213_Q03715_2726_2.jpg,213_Q03715_2726_3.jpg,would you like know about carpal tunnel syndrome,"No, that's not something I'm looking to explore.",Q03238,213_Q03238_861_1.jpg,213_Q03238_861_2.jpg,213_Q03238_861_3.jpg,are you interested in learning more about the symptoms,I have some interest in the recovery outcomes but not necessarily in the details about symptoms.,Q00300,213_Q00300_3265_1.jpg,213_Q00300_3265_2.jpg,213_Q00300_3265_3.jpg,do you like to know about carpal tunnel surgery,I want to know the recovery prospects after this.,Q01557,213_Q01557_1838_1.jpg,213_Q01557_1838_2.jpg,213_Q01557_1838_3.jpg
767,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,Were you interested in treatment for carpal tunnel syndrome?,"No, I am focused on other aspects of my health.  ",Q05615,213_Q05615_1673_1.jpg,213_Q05615_1673_2.jpg,213_Q05615_1673_3.jpg,are you looking for treatments for carpal tunnel syndrome,"No, I have different priorities at the moment.",Q01113,213_Q01113_3390_1.jpg,213_Q01113_3390_2.jpg,213_Q01113_3390_3.jpg,Did you want more information regarding carpal tunnel syndrome symptoms?,I'm actually interested in the expected outcomes of the surgery.,Q05614,213_Q05614_1672_1.jpg,213_Q05614_1672_2.jpg,213_Q05614_1672_3.jpg,are you interested in treatment or managment options,I'm interested in understanding the recovery prospects for CTS surgical patients.,Q00519,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg
768,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,would you like to know about carpal tunnel syndrome treatment,"No, I'm not interested in that right now.  ",Q03373,213_Q03373_1048_1.jpg,213_Q03373_1048_2.jpg,213_Q03373_1048_3.jpg,Would you like to view exercises for carpal tunnel syndrome?,"No, I prefer to focus on other information.",Q05616,213_Q05616_1674_1.jpg,213_Q05616_1674_2.jpg,213_Q05616_1674_3.jpg,what kind of product for carpal tunnel syndrome are you looking for,I'm currently not focused on any specific products.,Q02830,213_Q02830_690_1.jpg,213_Q02830_690_2.jpg,213_Q02830_690_3.jpg,are you interested in treatment or managment options,I'm interested in knowing about the recovery prospects for CTS surgical patients.,Q00519,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg
769,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,are you interested in the causes,"No, that's not something I'm considering at the moment.  ",Q00415,213_Q00415_2004_1.jpg,213_Q00415_2004_2.jpg,213_Q00415_2004_3.jpg,are you interested in learning more about the symptoms,"No, I'm not pursuing that information right now.",Q00300,213_Q00300_3265_1.jpg,213_Q00300_3265_2.jpg,213_Q00300_3265_3.jpg,are you interested in treatment or managment options,"Yes, I have specific interests in exploring options related to my condition.",Q00519,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,would you like to know how to prevent carpal tunnel syndrome,I'd like to know more about recovery.,Q03486,213_Q03486_31_1.jpg,213_Q03486_31_2.jpg,213_Q03486_31_3.jpg
770,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,are you interested in the causes,"No, I am not focused on that topic.  ",Q00415,213_Q00415_2004_1.jpg,213_Q00415_2004_2.jpg,213_Q00415_2004_3.jpg,would you like to know about carpal tunnel syndrome treatment,"No, I'm not looking for that information right now.",Q03373,213_Q03373_1048_1.jpg,213_Q03373_1048_2.jpg,213_Q03373_1048_3.jpg,Did you want more information regarding carpal tunnel syndrome symptoms?,I'm more interested in understanding the recovery process.,Q05614,213_Q05614_1672_1.jpg,213_Q05614_1672_2.jpg,213_Q05614_1672_3.jpg,Were you interested in treatment for carpal tunnel syndrome?,"No, i am just interested in recovery prospects for surgical patients of CTS.",Q05615,213_Q05615_1673_1.jpg,213_Q05615_1673_2.jpg,213_Q05615_1673_3.jpg
771,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,would you like know about carpal tunnel syndrome,"No, I'm not seeking information on that topic.  ",Q03238,213_Q03238_861_1.jpg,213_Q03238_861_2.jpg,213_Q03238_861_3.jpg,are you interested in ways to relieve pain caused by carpal tunnel syndrome,"No, I have other priorities at the moment.",Q00537,213_Q00537_1406_1.jpg,213_Q00537_1406_2.jpg,213_Q00537_1406_3.jpg,are there any important related factors or complications you want to know about regarding carpal tunnel syndrome,I'm not particularly interested in additional factors or complications at this moment.,Q00014,213_Q00014_484_1.jpg,213_Q00014_484_2.jpg,213_Q00014_484_3.jpg,Did you want more information regarding carpal tunnel syndrome symptoms?,I'm actually looking for the recovery prospects.,Q05614,213_Q05614_1672_1.jpg,213_Q05614_1672_2.jpg,213_Q05614_1672_3.jpg
772,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,would you like know about carpal tunnel syndrome,"No, I don't have further interest in that topic.  ",Q03238,213_Q03238_861_1.jpg,213_Q03238_861_2.jpg,213_Q03238_861_3.jpg,are you interested in ways to relieve pain caused by carpal tunnel syndrome,"No, that's not something I'm focused on right now.",Q00537,213_Q00537_1406_1.jpg,213_Q00537_1406_2.jpg,213_Q00537_1406_3.jpg,Would you like information about carpal tunnel treatments?,I'm primarily interested in understanding what to expect after surgery for CTS.,Q05613,213_Q05613_1671_1.jpg,213_Q05613_1671_2.jpg,213_Q05613_1671_3.jpg,are you looking for the medical billing code for this disorder,These images are interesting. I don't need the medical billing code. I need to know about recovery from having surgery for carpal tunnel syndrome.,Q01081,213_Q01081_3358_1.jpg,213_Q01081_3358_2.jpg,213_Q01081_3358_3.jpg
773,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,would you like know about causes for carpal tunnel syndrome,"No, I'm not interested in that.  ",Q03239,213_Q03239_3541_1.jpg,213_Q03239_3541_2.jpg,213_Q03239_3541_3.jpg,Would you like to view exercises for carpal tunnel syndrome?,"No, that's not what I'm focusing on.",Q05616,213_Q05616_1674_1.jpg,213_Q05616_1674_2.jpg,213_Q05616_1674_3.jpg,are you interested in ways to relieve pain caused by carpal tunnel syndrome,I am primarily focused on understanding the options available for pain relief.,Q00537,213_Q00537_1406_1.jpg,213_Q00537_1406_2.jpg,213_Q00537_1406_3.jpg,are you interested in treatment or managment options,I'm more interested in exploring the recovery prospects for CTS surgical patients.,Q00519,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg
774,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,are you interested in learning more about the symptoms,"No, that's not something I am focusing on right now.  ",Q00300,213_Q00300_3265_1.jpg,213_Q00300_3265_2.jpg,213_Q00300_3265_3.jpg,do you need a list of who is at most risk of developing carpal tunnel syndrome,"No, I have sufficient information on that topic.",Q01582,213_Q01582_455_1.jpg,213_Q01582_455_2.jpg,213_Q01582_455_3.jpg,would you like to know about carpal tunnel syndrome treatment,"Yes, I’m interested in what happens after the surgery.",Q03373,213_Q03373_1048_1.jpg,213_Q03373_1048_2.jpg,213_Q03373_1048_3.jpg,Did you want more information regarding carpal tunnel syndrome symptoms?,I'm actually looking for the recovery prospects.,Q05614,213_Q05614_1672_1.jpg,213_Q05614_1672_2.jpg,213_Q05614_1672_3.jpg
775,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,do you need a list of who is at most risk of developing carpal tunnel syndrome,"No, I don't require that information.  ",Q01582,213_Q01582_455_1.jpg,213_Q01582_455_2.jpg,213_Q01582_455_3.jpg,are you interested in treatment or managment options,"No, I'm not looking for those options.",Q00519,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,Would you like to view exercises for carpal tunnel syndrome?,I'm primarily interested in understanding the recovery prospects for surgery patients rather than exploring exercises.,Q05616,213_Q05616_1674_1.jpg,213_Q05616_1674_2.jpg,213_Q05616_1674_3.jpg,are you looking for treatments for carpal tunnel syndrome,"Yes, I'm interested in learning about the recovery prospects for CTS surgical patients.",Q01113,213_Q01113_3390_1.jpg,213_Q01113_3390_2.jpg,213_Q01113_3390_3.jpg
776,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,are you interested leaning about carpal tunnel syndrome symptoms,"No, that’s not something I’m pursuing right now.  ",Q00572,213_Q00572_3221_1.jpg,213_Q00572_3221_2.jpg,213_Q00572_3221_3.jpg,are you interested in the causes,"No, I’m not focused on that topic at the moment.",Q00415,213_Q00415_2004_1.jpg,213_Q00415_2004_2.jpg,213_Q00415_2004_3.jpg,would you like to know about carpal tunnel syndrome treatment,I'm interested in understanding more about the options available after the procedure.,Q03373,213_Q03373_1048_1.jpg,213_Q03373_1048_2.jpg,213_Q03373_1048_3.jpg,do you want to learn more about the risk factors,"Actually, I want to know the recovery process for patients of CTS surgery.",Q02389,213_Q02389_3049_1.jpg,213_Q02389_3049_2.jpg,213_Q02389_3049_3.jpg
777,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,would you like know about causes for carpal tunnel syndrome,"No, that's not something I'm interested in.  ",Q03239,213_Q03239_3541_1.jpg,213_Q03239_3541_2.jpg,213_Q03239_3541_3.jpg,are you looking for treatments for carpal tunnel syndrome,"No, that's not what I'm focusing on right now.",Q01113,213_Q01113_3390_1.jpg,213_Q01113_3390_2.jpg,213_Q01113_3390_3.jpg,are you interested in treatment or managment options,"Yes, I'm exploring specific options related to treatment.",Q00519,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,are you searching for doctors that treat this condition,"Actually, I'm interested in understanding the recovery prospects for CTS surgical patients.",Q01305,213_Q01305_553_1.jpg,213_Q01305_553_2.jpg,213_Q01305_553_3.jpg
778,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,would you like know about causes for carpal tunnel syndrome,"No, I'm not interested in that topic.  ",Q03239,213_Q03239_3541_1.jpg,213_Q03239_3541_2.jpg,213_Q03239_3541_3.jpg,are you searching for doctors that treat this condition,"No, I'm not looking for that information.",Q01305,213_Q01305_553_1.jpg,213_Q01305_553_2.jpg,213_Q01305_553_3.jpg,are you looking for tests to diagnose carpal tunnel syndrome,I'm interested in understanding the potential outcomes after undergoing surgery for this condition.,Q01045,213_Q01045_2522_1.jpg,213_Q01045_2522_2.jpg,213_Q01045_2522_3.jpg,Would you like information about carpal tunnel treatments?,No. I just want to know the recovery prospects for CTS surgical patients.,Q05613,213_Q05613_1671_1.jpg,213_Q05613_1671_2.jpg,213_Q05613_1671_3.jpg
779,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,are you interested in learning more about the symptoms,No.  ,Q00300,213_Q00300_3265_1.jpg,213_Q00300_3265_2.jpg,213_Q00300_3265_3.jpg,Were you interested in treatment for carpal tunnel syndrome?,"No, my focus is elsewhere.",Q05615,213_Q05615_1673_1.jpg,213_Q05615_1673_2.jpg,213_Q05615_1673_3.jpg,what kind of product for carpal tunnel syndrome are you looking for,I’m not currently focused on products related to that condition.,Q02830,213_Q02830_690_1.jpg,213_Q02830_690_2.jpg,213_Q02830_690_3.jpg,are you interested in treatment or managment options,I am actually looking to know more about the recovery prospects for CTS surgical patients.,Q00519,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg
780,What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,would you like know about causes for carpal tunnel syndrome,"No, that's not what I'm interested in right now.  ",Q03239,213_Q03239_3541_1.jpg,213_Q03239_3541_2.jpg,213_Q03239_3541_3.jpg,do you want to learn more about the risk factors,"No, I'm focusing on other aspects at the moment.",Q02389,213_Q02389_3049_1.jpg,213_Q02389_3049_2.jpg,213_Q02389_3049_3.jpg,are you looking for tests to diagnose carpal tunnel syndrome,I’m interested in understanding the recovery options available for this condition.,Q01045,213_Q01045_2522_1.jpg,213_Q01045_2522_2.jpg,213_Q01045_2522_3.jpg,are you searching for doctors that treat this condition,I'm actually interested in learning more about the recovery prospects for CTS surgical patients.,Q01305,213_Q01305_553_1.jpg,213_Q01305_553_2.jpg,213_Q01305_553_3.jpg
781,What does the US capital tax rate consist of and how is it broken down?,F0481,214,capital gains tax rate,do you like to know about shortterm capital gains tax rate 2020,"No, I am not interested in that subject.  ",Q01559,214_Q01559_1687_1.jpg,214_Q01559_1687_2.jpg,214_Q01559_1687_3.jpg,Are you interested in changes to the capital gains tax rate over time?,"No, I don’t find that topic engaging.",Q04202,214_Q04202_260_1.jpg,214_Q04202_260_2.jpg,214_Q04202_260_3.jpg,what capital gains tax rate year are you looking for,"I'm interested in understanding more about the tax rates related to capital gains, but I'm not sure which specific year I should focus on.",Q02742,214_Q02742_1598_1.jpg,214_Q02742_1598_2.jpg,214_Q02742_1598_3.jpg,Are you looking for the capital gains tax rate in the United States?,No. I'm interested in learning about what the US capital tax rate consists of and how it gets broken down.,Q04201,214_Q04201_259_1.jpg,214_Q04201_259_2.jpg,214_Q04201_259_3.jpg
782,What does the US capital tax rate consist of and how is it broken down?,F0481,214,capital gains tax rate,do you like to know about shortterm capital gains tax rate 2020,"No, I am not interested in that information.  ",Q01559,214_Q01559_1687_1.jpg,214_Q01559_1687_2.jpg,214_Q01559_1687_3.jpg,Are you interested in changes to the capital gains tax rate over time?,"No, that's not something I want to explore.",Q04202,214_Q04202_260_1.jpg,214_Q04202_260_2.jpg,214_Q04202_260_3.jpg,do you like to know capital gains tax on real estate,I have an interest in understanding the components and breakdown of the US capital tax rate.,Q01562,214_Q01562_13_1.jpg,214_Q01562_13_2.jpg,214_Q01562_13_3.jpg,would you like a sample of capital gains worksheet,no i want more info on what it is and how it works,Q03186,214_Q03186_2976_1.jpg,214_Q03186_2976_2.jpg,214_Q03186_2976_3.jpg
783,What does the US capital tax rate consist of and how is it broken down?,F0481,214,capital gains tax rate,would you like to know how to avoid capital gains tax rate,"No, I'm not interested in that topic.  ",Q03474,214_Q03474_2102_1.jpg,214_Q03474_2102_2.jpg,214_Q03474_2102_3.jpg,do you like to know about shortterm capital gains tax rate 2020,"No, that's not something I'm curious about.",Q01559,214_Q01559_1687_1.jpg,214_Q01559_1687_2.jpg,214_Q01559_1687_3.jpg,what capital gains tax rate year are you looking for,I'm exploring some options related to tax rates and regulations.,Q02742,214_Q02742_1598_1.jpg,214_Q02742_1598_2.jpg,214_Q02742_1598_3.jpg,do you want a list of the current capital gains tax rates in a table,"Yes, I would like a table that outlines what the US capital tax rate consists of and how it is broken down.",Q01768,214_Q01768_2269_1.jpg,214_Q01768_2269_2.jpg,214_Q01768_2269_3.jpg
784,What does the US capital tax rate consist of and how is it broken down?,F0481,214,capital gains tax rate,Are you looking for capital gains tax rate around the world?,"No, that's not what I'm interested in.  ",Q04203,214_Q04203_261_1.jpg,214_Q04203_261_2.jpg,214_Q04203_261_3.jpg,would you like to know how to avoid capital gains tax rate,"No, I'm not seeking information on that topic.",Q03474,214_Q03474_2102_1.jpg,214_Q03474_2102_2.jpg,214_Q03474_2102_3.jpg,what capital gains tax rate year are you looking for,"I’m mainly interested in understanding the capital gains tax rate, but I haven’t specified a particular year yet.",Q02742,214_Q02742_1598_1.jpg,214_Q02742_1598_2.jpg,214_Q02742_1598_3.jpg,Are you looking for the capital gains tax rate in the United States?,No. I'm interested in learning about what the US capital tax rate consists of and how it gets broken down.,Q04201,214_Q04201_259_1.jpg,214_Q04201_259_2.jpg,214_Q04201_259_3.jpg
785,How do you get a Maryland fishing license?,F0483,215,maryland department of natural resources,do you want to know what jobs are available at the maryland department of natural resources,"No, that's not what I'm looking for.  ",Q02285,215_Q02285_230_1.jpg,215_Q02285_230_2.jpg,215_Q02285_230_3.jpg,are you interested in seasonal activities,"No, that's not my focus right now.",Q00381,215_Q00381_130_1.jpg,215_Q00381_130_2.jpg,215_Q00381_130_3.jpg,would you like to read news material and bulletins from the maryland department of natural resources,"I'm not particularly interested in that, but I have other ways to gather information.",Q03783,215_Q03783_127_1.jpg,215_Q03783_127_2.jpg,215_Q03783_127_3.jpg,would you like to conact the maryland department of natural resources,No. I would like to know how to get a Maryland fishing license.,Q03327,215_Q03327_1443_1.jpg,215_Q03327_1443_2.jpg,215_Q03327_1443_3.jpg
786,How do you get a Maryland fishing license?,F0483,215,maryland department of natural resources,would you like to read news material and bulletins from the maryland department of natural resources,"No, I'm not interested in that.  ",Q03783,215_Q03783_127_1.jpg,215_Q03783_127_2.jpg,215_Q03783_127_3.jpg,do you want to know the location of maryland department of natural resources,"No, that's not something I need to find out.",Q02218,215_Q02218_3484_1.jpg,215_Q02218_3484_2.jpg,215_Q02218_3484_3.jpg,would you like to know the responsibilities of the maryland department of natural resources,"I appreciate your offer, but my current focus is on obtaining the license itself.",Q03623,215_Q03623_2669_1.jpg,215_Q03623_2669_2.jpg,215_Q03623_2669_3.jpg,would you like to conact the maryland department of natural resources,No. I would like to know how to get a Maryland fishing license.,Q03327,215_Q03327_1443_1.jpg,215_Q03327_1443_2.jpg,215_Q03327_1443_3.jpg
787,What information is available about Maryland parks and recreation?,F0484,215,maryland department of natural resources,would you like more information about the officials in the maryland department of natural resources,"No, I'm not interested in details about the officials at this time.  ",Q03249,215_Q03249_674_1.jpg,215_Q03249_674_2.jpg,215_Q03249_674_3.jpg,Do you want to know how to get a fishing licence from the Maryland departmnt of natural resources?,"No, I don't need that information right now.",Q05221,215_Q05221_1279_1.jpg,215_Q05219_1277_2.jpg,215_Q05216_1274_3.jpg,would you like more information on the wildlife the maryland department of natural resources manages,I'm interested in learning more about the local parks and recreational activities.,Q03252,215_Q03252_1291_1.jpg,215_Q03252_1291_2.jpg,215_Q03252_1291_3.jpg,are you interested in seasonal activities,"Yes, I am interested in seasonal activities and would like to know what information is available about Maryland parks and recreation.",Q00381,215_Q00381_130_1.jpg,215_Q00381_130_2.jpg,215_Q00381_130_3.jpg
788,What information is available about Maryland parks and recreation?,F0484,215,maryland department of natural resources,would you like more information about the officials in the maryland department of natural resources,"No, I am looking for different information about the department.  ",Q03249,215_Q03249_674_1.jpg,215_Q03249_674_2.jpg,215_Q03249_674_3.jpg,do you want to know the conact number of maryland department of natural resources,"No, that's not what I need right now.",Q02187,215_Q02187_2008_1.jpg,215_Q02187_2008_2.jpg,215_Q02187_2008_3.jpg,Do you want to know how to get a fishing licence from the Maryland departmnt of natural resources?,I'm interested in exploring some aspects of Maryland's parks and recreation options.,Q05221,215_Q05221_1279_1.jpg,215_Q05219_1277_2.jpg,215_Q05216_1274_3.jpg,do you want to know the location of maryland department of natural resources,"I’m interested in finding information about Maryland parks and recreation, including the location of the Maryland Department of Natural Resources.",Q02218,215_Q02218_3484_1.jpg,215_Q02218_3484_2.jpg,215_Q02218_3484_3.jpg
789,What movies has Nicolas Cage appeared in?,F0488,216,nicolas cage movies,is there a specific nicolas cage movie your interested in,"No, I am just looking for a comprehensive list of his performances.  ",Q02597,216_Q02597_1920_1.jpg,216_Q02597_1920_2.jpg,216_Q02597_1920_3.jpg,Are you interested in award winning Nicolas Cage movies?,"No, that’s not what I’m focusing on right now.",Q03972,216_Q03972_30_1.jpg,216_Q03972_30_2.jpg,216_Q03972_30_3.jpg,would you like to see details of the most recent nicolas cage movie,"Sure, I'm interested in exploring his filmography, but I'm also curious about specific recent releases. Tell me about the middle photo.",Q03839,216_Q03839_48_1.jpg,216_Q03839_48_2.jpg,216_Q03839_48_3.jpg,do you want to watch some nicolas cage movies,Sure! I’d like to check out some Nicolas Cage movies to see what movies has Nicolas Cage appeared in.,Q02465,216_Q02465_985_1.jpg,216_Q02465_985_2.jpg,216_Q02465_985_3.jpg
790,What movies has Nicolas Cage appeared in?,F0488,216,nicolas cage movies,want to know the next movie with him,"No, I am not looking for information about his filmography.  ",Q02681,216_Q02681_980_1.jpg,216_Q02681_980_2.jpg,216_Q02681_980_3.jpg,are you interested in the nicolas cage movie for which cage won the best actor oscar,"No, I have no interest in discussing that topic.",Q00475,216_Q00475_2381_1.jpg,216_Q00475_2381_2.jpg,216_Q00475_2381_3.jpg,quiz time which 2011 film featured nicolas cage,"I am interested in movies featuring Nicolas Cage, but I’m not ready to discuss specifics at this moment.",Q02656,216_Q02656_2186_1.jpg,216_Q02656_2186_2.jpg,216_Q02656_2186_3.jpg,do you want to watch some nicolas cage movies,Sure! I'm interested in knowing what movies Nicolas Cage has appeared in before I decide which ones to watch.,Q02465,216_Q02465_985_1.jpg,216_Q02465_985_2.jpg,216_Q02465_985_3.jpg
791,What is the next movie Nicolas Cage will appear in?,F0489,216,nicolas cage movies,Are you interested in Nicolas Cage movies from the 2020s?,"1. No, that information is not what I'm looking for at the moment.  ",Q03973,216_Q03973_31_1.jpg,216_Q03973_31_2.jpg,216_Q03973_31_3.jpg,would you like to see a list of nicolas cage movies,"2. No, I’m not considering that option right now.",Q03813,216_Q03813_2584_1.jpg,216_Q03813_2584_2.jpg,216_Q03813_2584_3.jpg,Are you interested in a list of the top movies for nicolas cage?,"I'm not particularly looking for that right now, but I do have an interest in upcoming films.",Q03974,216_Q03974_32_1.jpg,216_Q03974_32_2.jpg,216_Q03974_32_3.jpg,would you like to know about a specific nicolas cage movie,"Yes, I would like to know what the next movie Nicolas Cage will appear in.",Q03365,216_Q03365_941_1.jpg,216_Q03365_941_2.jpg,216_Q03365_941_3.jpg
792,What solar water fountains are available for gardens.,F0492,218,solar water fountains,What artistic style would you like in a fountain?,I'm not considering options right now.  ,Q05289,218_Q05289_1347_1.jpg,218_Q05289_1347_2.jpg,218_Q05289_1347_3.jpg,are you interested in how solar water fountains work,I'm not looking into that topic at the moment.,Q00239,218_Q00239_490_1.jpg,218_Q00239_490_2.jpg,218_Q00239_490_3.jpg,which price range of solar water fountains are you looking for,"I'm exploring different options, but my main interest is in the types of solar water fountains suitable for gardens.",Q03064,218_Q03064_1982_1.jpg,218_Q03064_1982_2.jpg,218_Q03064_1982_3.jpg,Would you like to know about solar water fountain bird baths?,"Yes, I would love to know what solar water fountains are available for gardens, especially the ones that function as bird baths.",Q05287,218_Q05287_1345_1.jpg,218_Q05287_1345_2.jpg,218_Q05287_1345_3.jpg
793,What solar water fountains are available for gardens.,F0492,218,solar water fountains,What size solar water fountain would you be interested in?,I'm not really looking for suggestions right now.  ,Q05290,218_Q05290_1348_1.jpg,218_Q05290_1348_2.jpg,218_Q05290_1348_3.jpg,do you want to know the benefits of solar water fountains,I'm not particularly interested in that at the moment.,Q02179,218_Q02179_2377_1.jpg,218_Q02179_2377_2.jpg,218_Q02179_2377_3.jpg,Would you like to know about wall solar water fountains?,I am interested in exploring different types of solar water fountains for gardens.,Q05285,218_Q05285_1343_1.jpg,218_Q05285_1343_2.jpg,218_Q05285_1343_3.jpg,are you looking for solar water fountain kits,"Yes, I am looking for solar water fountain kits that are available for gardens.",Q01013,218_Q01013_2771_1.jpg,218_Q01013_2771_2.jpg,218_Q01013_2771_3.jpg
794,What solar water fountains are available for gardens.,F0492,218,solar water fountains,are you looking for a handyman who can install a solar water fountain,"No, I am not in the market for that service.  ",Q00625,218_Q00625_910_1.jpg,218_Q00625_910_2.jpg,218_Q00625_910_3.jpg,are you interested in how solar water fountains work,"No, I am not curious about that topic.",Q00239,218_Q00239_490_1.jpg,218_Q00239_490_2.jpg,218_Q00239_490_3.jpg,What do you want the solar water fountain for?,"I'm not entirely sure about the purpose, but I am drawn to the aesthetics of the picture on the left.",Q05288,218_Q05288_1346_1.jpg,218_Q05288_1346_2.jpg,218_Q05288_1346_3.jpg,What size solar water fountain would you be interested in?,I'm not sure I just want solar water fountains available for gardens.,Q05290,218_Q05290_1348_1.jpg,218_Q05290_1348_2.jpg,218_Q05290_1348_3.jpg
